2891.TW,中信金,19.90,-0.05,-0.25%,106912
1301.TW,臺塑,90.00,3.10,+3.57%,86731
2382.TW,廣達,55.20,-0.50,-0.90%,55306
1326.TW,臺化,88.80,2.50,+2.90%,47108
2324.TW,仁寶,38.45,0.10,+0.26%,41240
2353.TW,宏碁,87.70,0.60,+0.69%,34635
1440.TW,南紡,21.25,-0.45,-2.07%,34482
2105.TW,正新,71.80,0.40,+0.56%,30516
2311.TW,日月光,26.00,0.10,+0.39%,26278
2330.TW,台積電,62.30,0.30,+0.48%,24347
911609.TW,揚子江,23.25,-0.25,-1.06%,23588
6116.TW,彩晶,6.15,-0.01,-0.16%,20138
2609.TW,陽明,21.70,-0.30,-1.36%,18394
2474.TW,可成,82.10,-0.40,-0.48%,18055
2103.TW,臺橡,56.50,-0.60,-1.05%,17602
3231.TW,緯創,60.10,-0.90,-1.48%,15958
9904.TW,寶成,29.05,0.25,+0.87%,15437
2317.TW,鴻海,118.00,-0.50,-0.42%,15359
3045.TW,台灣大,67.30,0.50,+0.75%,15317
2884.TW,玉山金,16.00,0.05,+0.31%,14949
1434.TW,福懋,28.50,-0.15,-0.52%,14378
2325.TW,矽品,33.50,1.15,+3.55%,13693
3481.TW,奇美電,41.80,0.05,+0.12%,13087
1102.TW,亞泥,32.25,0.05,+0.16%,12202
3189.TW,景碩,83.70,-0.60,-0.71%,12010
2890.TW,永豐金,11.55,-0.10,-0.86%,11177
2347.TW,聯強,74.60,1.40,+1.91%,10811
2801.TW,彰銀,20.70,-0.10,-0.48%,9655
1802.TW,台玻,38.10,0.75,+2.01%,9237
2892.TW,第一金,20.55,0.10,+0.49%,8815
1314.TW,中石化,26.75,-0.05,-0.19%,7805
1303.TW,南亞,70.00,0.90,+1.30%,7743
2384.TW,勝華,52.30,0.20,+0.38%,7588
2412.TW,中華電,71.70,-0.30,-0.42%,7478
6282.TW,康舒,27.70,-0.25,-0.89%,7394
2880.TW,華南金,20.15,0.00,0.00%,7242
1444.TW,力麗,18.65,0.15,+0.81%,7131
3034.TW,聯詠,90.60,-0.60,-0.66%,6965
2610.TW,華航,24.85,-0.35,-1.39%,6545
1312.TW,國喬,17.90,1.05,+6.23%,6396
911611.TW,中泰山,13.20,-0.05,-0.38%,6026
4904.TW,遠傳,44.35,-0.05,-0.11%,6014
3311.TW,閎暉,92.80,-1.70,-1.80%,5774
2357.TW,華碩,239.00,-7.00,-2.85%,5608
2360.TW,致茂,82.40,3.40,+4.30%,5494
3576.TW,新日光,75.10,0.30,+0.40%,5055
6505.TW,台塑化,83.70,0.40,+0.48%,5019
2504.TW,國產,16.35,0.25,+1.55%,5002
