2891.TW,中信金,30.95,-0.30,-0.96%,-0.45
2892.TW,第一金,-2.26%,-13556,20.15,-11707
2618.TW,長榮航,32.40,-1.10,-3.28%,0.10
2610.TW,華航,+0.31%,-5720,24.15,-5549
1605.TW,華新,20.15,-1.10,-5.18%,-0.15
1414.TW,東和,-0.79%,-4566,10.85,-4356
1101.TW,台泥,37.70,-0.30,-0.79%,-0.45
1402.TW,遠東新,-1.34%,-3736,46.60,-3695
6153.TW,嘉聯益,47.00,-0.40,-0.84%,-2.30
2384.TW,勝華,-5.81%,-2380,52.10,-2345
3474.TW,華亞科,13.80,-0.05,-0.36%,0.00
2317.TW,鴻海,0.00%,-2111,116.00,-2096
1210.TW,大成,58.10,-0.60,-1.02%,-0.35
2449.TW,京元電,-1.07%,-2054,13.80,-2010
3037.TW,欣興,16.35,0.00,0.00%,-0.65
1216.TW,統一,-1.34%,-1739,38.85,-1629
911608.TW,明輝,4.33,0.03,+0.70%,-0.35
2022.TW,聚亨,-2.10%,-1500,8.00,-1465
2371.TW,大同,22.50,-0.30,-1.32%,-0.03
2801.TW,彰銀,-0.41%,-1205,20.35,-1192
3044.TW,健鼎,26.90,-0.65,-2.36%,-2.00
2448.TW,晶電,-1.85%,-1095,97.40,-1078
2374.TW,佳能,13.95,-0.25,-1.76%,0.00
2454.TW,聯發科,0.00%,-1023,383.00,-984
3008.TW,大立光,83.00,0.90,+1.10%,-24.00
2912.TW,統一超,-3.99%,-964,121.50,-894
2376.TW,技嘉,23.40,-0.45,-1.89%,-0.15
9911.TW,櫻花,-0.51%,-835,24.50,-792
3019.TW,亞光,39.15,-0.05,-0.13%,-0.40
4906.TW,正文,-0.76%,-739,47.05,-737
1507.TW,永大,23.40,0.75,+3.31%,1.10
