1312.TW,國喬,17.95,0.05,+0.28%,8676
3481.TW,奇美電,0,8676,41.95,0.15
3481.TW.TW,奇美電,+0.36%,2854,0,2854
2409.TW,友達,30.75,0.00,0.00%,2689
2325.TW,矽品,0,2689,32.40,-1.10
2325.TW.TW,矽品,-3.28%,2489,0,2489
1409.TW,新纖,16.00,-0.45,-2.74%,2578
1314.TW,中石化,550,2028,26.70,-0.05
1314.TW.TW,中石化,-0.19%,2186,162,2024
911610.TW,聯環,20.35,1.30,+6.82%,1500
2330.TW,台積電,0,1500,62.00,-0.30
2330.TW.TW,台積電,-0.48%,1389,0,1389
2504.TW,國產,16.35,0.00,0.00%,1344
2854.TW,寶來證,0,1344,16.30,-0.05
2854.TW.TW,寶來證,-0.31%,1203,0,1203
2382.TW,廣達,55.00,-0.20,-0.36%,1118
3036.TW,文曄,0,1118,47.95,-0.50
3036.TW.TW,文曄,-1.03%,1068,0,1068
3231.TW,緯創,62.30,2.20,+3.66%,1564
1210.TW,大成,500,1064,32.50,-0.35
1210.TW.TW,大成,-1.07%,1021,0,1021
1504.TW,東元,19.40,-0.40,-2.02%,956
1326.TW,臺化,0,956,88.70,-0.10
1326.TW.TW,臺化,-0.11%,817,0,817
2457.TW,飛宏,63.00,3.40,+5.70%,791
1711.TW,永光,0,791,37.00,-0.60
1711.TW.TW,永光,-1.60%,750,0,750
6239.TW,力成,98.80,0.90,+0.92%,823
2474.TW,可成,200,623,83.00,0.90
2474.TW.TW,可成,+1.10%,602,0,602
1717.TW,長興,34.50,-0.65,-1.85%,601
3638.TW,IML,0,601,110.00,1.50
3638.TW.TW,IML,+1.38%,581,0,581
6213.TW,聯茂,44.95,0.20,+0.45%,620
2892.TW,第一金,62,558,20.15,-0.40
2892.TW.TW,第一金,-1.95%,519,0,519
2882.TW,國泰金,47.00,-0.40,-0.84%,503
2607.TW,榮運,0,503,28.20,0.75
2607.TW.TW,榮運,+2.73%,400,0,400
2847.TW,大眾銀,7.22,-0.01,-0.14%,372
1902.TW,臺紙,0,372,19.50,-0.55
1902.TW.TW,臺紙,-2.74%,355,0,355
2357.TW,華碩,240.00,1.00,+0.42%,319
1309.TW,臺達化,0,319,12.95,0.30
1309.TW.TW,臺達化,+2.37%,300,0,300
9928.TW,中視,28.00,0.55,+2.00%,300
3443.TW,創意,0,300,130.00,3.00
3443.TW.TW,創意,+2.36%,252,0,252
1402.TW,遠東新,46.60,-0.30,-0.64%,521
1560.TW,中砂,270,251,52.20,0.80
1560.TW.TW,中砂,+1.56%,250,0,250
3573.TW,穎台,133.00,0.50,+0.38%,243
3383.TW,新世紀,0,243,54.20,0.60
3383.TW.TW,新世紀,+1.12%,402,160,242
3189.TW,景碩,83.10,-0.60,-0.72%,300
1733.TW,五鼎,60,240,74.10,-0.10
1733.TW.TW,五鼎,-0.13%,220,13,207
1466.TW,聚隆,29.50,-2.20,-6.94%,600
1473.TW,台南,393,207,43.00,-0.75
1473.TW.TW,台南,-1.71%,200,0,200
1701.TW,中化,30.85,0.10,+0.33%,200
1704.TW,榮化,0,200,64.00,-0.80
1704.TW.TW,榮化,-1.23%,185,0,185
3514.TW,昱晶,88.70,0.10,+0.11%,181
2473.TW,思源,0,181,41.40,-1.20
2473.TW.TW,思源,-2.82%,180,0,180
1304.TW,臺聚,26.90,-0.65,-2.36%,176
3042.TW,晶技,0,176,56.80,0.30
3042.TW.TW,晶技,+0.53%,170,0,170
1909.TW,榮成,13.10,-0.30,-2.24%,161
2354.TW,鴻準,0,161,96.00,-0.20
2354.TW.TW,鴻準,-0.21%,153,0,153
2545.TW,皇翔,65.90,1.00,+1.54%,298
3209.TW,全科,155,143,41.00,0.25
3209.TW.TW,全科,+0.61%,130,0,130
