2384.TW,勝華,52.10,-0.20,-0.38%,-49832
3037.TW,欣興,47.90,-0.65,-1.34%,-31989
2603.TW,長榮,25.45,0.70,+2.83%,-27004
9911.TW,櫻花,24.50,-0.35,-1.41%,-24597
3043.TW,科風,59.50,-1.70,-2.78%,-23648
2609.TW,陽明,22.80,1.10,+5.07%,-23005
3017.TW,奇鋐,33.00,-0.20,-0.60%,-22206
2823.TW,中壽,24.80,-0.05,-0.20%,-18934
9945.TW,潤泰新,51.30,1.10,+2.19%,-18628
2002.TW,中鋼,30.95,-0.30,-0.96%,-18402
6153.TW,嘉聯益,37.30,-2.30,-5.81%,-16060
2915.TW,潤泰全,87.80,0.10,+0.11%,-14219
2201.TW,裕隆,60.50,-1.10,-1.79%,-13586
3561.TW,昇陽科,76.10,-0.90,-1.17%,-13237
2881.TW,富邦金,37.70,-0.30,-0.79%,-13187
3576.TW,新日光,74.00,-1.10,-1.46%,-11638
2891.TW,中信金,19.45,-0.45,-2.26%,-11421
1319.TW,東陽,50.00,0.00,0.00%,-10951
2014.TW,中鴻,13.40,-0.10,-0.74%,-10226
2337.TW,旺宏,19.20,-0.05,-0.26%,-9855
2105.TW,正新,71.40,-0.40,-0.56%,-9365
2383.TW,台光電,28.25,-0.45,-1.57%,-9346
3042.TW,晶技,56.80,0.30,+0.53%,-9044
2882.TW,國泰金,47.00,-0.40,-0.84%,-8874
8039.TW,台虹,65.90,-1.60,-2.37%,-8533
5534.TW,長虹,74.40,-0.80,-1.06%,-8259
2605.TW,新興,37.35,-0.30,-0.80%,-8201
3030.TW,德律,40.05,0.25,+0.63%,-8144
1440.TW,南紡,20.15,-1.10,-5.18%,-8099
2369.TW,菱生,20.70,-0.50,-2.36%,-8032
2327.TW,國巨,12.85,-0.05,-0.39%,-7971
2610.TW,華航,24.15,-0.70,-2.82%,-7883
2412.TW,中華電,71.30,-0.40,-0.56%,-7724
2887.TW,台新金,13.50,-0.20,-1.46%,-7520
9136.TW,巨騰,20.40,-0.15,-0.73%,-7306
2022.TW,聚亨,8.00,0.25,+3.23%,-7257
2406.TW,國碩,49.60,-0.70,-1.39%,-7012
3702.TW,大聯大,58.10,-0.60,-1.02%,-6980
2206.TW,三陽,16.65,-0.15,-0.89%,-6897
8046.TW,南電,119.50,-2.00,-1.65%,-6793
2330.TW,台積電,62.00,-0.30,-0.48%,-6667
2812.TW,台中銀,10.25,-0.05,-0.49%,-6455
1201.TW,味全,34.85,-0.65,-1.83%,-6448
3041.TW,揚智,46.55,-1.10,-2.31%,-6379
6213.TW,聯茂,44.95,0.20,+0.45%,-6086
2456.TW,奇力新,28.00,-0.65,-2.27%,-6033
2308.TW,台達電,125.50,-2.00,-1.57%,-6030
2847.TW,大眾銀,7.22,-0.01,-0.14%,-5935
2601.TW,益航,61.90,-1.00,-1.59%,-5734
9934.TW,成霖,31.20,-0.15,-0.48%,-5662
