1301.TW,臺塑,91.40,1.40,+1.56%,23677
2014.TW,中鴻,19160,4517,13.40,-0.10
2014.TW.TW,中鴻,-0.74%,7412,3552,3860
1312.TW,國喬,17.95,0.05,+0.28%,13489
3231.TW,緯創,10010,3479,62.30,2.20
3231.TW.TW,緯創,+3.66%,14340,11724,2616
2504.TW,國產,16.35,0.00,0.00%,8294
2603.TW,長榮,6263,2031,25.45,0.70
2603.TW.TW,長榮,+2.83%,15923,13976,1947
2353.TW,宏碁,87.00,-0.70,-0.80%,11242
3481.TW,奇美電,9429,1813,41.95,0.15
3481.TW.TW,奇美電,+0.36%,8689,6886,1803
911610.TW,聯環,20.35,1.30,+6.82%,6832
2449.TW,京元電,5383,1449,13.80,-0.20
2449.TW.TW,京元電,-1.43%,8319,7149,1170
2311.TW,日月光,26.00,0.00,0.00%,18184
9904.TW,寶成,17123,1061,28.80,-0.25
9904.TW.TW,寶成,-0.86%,6390,5459,931
2347.TW,聯強,75.50,0.90,+1.21%,4139
3045.TW,台灣大,3258,881,67.80,0.50
3045.TW.TW,台灣大,+0.74%,2144,1284,860
2324.TW,仁寶,38.50,0.05,+0.13%,7053
1314.TW,中石化,6201,852,26.70,-0.05
1314.TW.TW,中石化,-0.19%,6766,5947,819
1210.TW,大成,32.50,-0.35,-1.07%,5846
2105.TW,正新,5080,766,71.40,-0.40
2105.TW.TW,正新,-0.56%,4127,3380,747
2327.TW,國巨,12.85,-0.05,-0.39%,2479
1303.TW,南亞,1741,738,70.00,0.00
1303.TW.TW,南亞,0.00%,5239,4522,717
2316.TW,楠梓電,18.80,0.35,+1.90%,2289
2409.TW,友達,1614,675,30.75,0.00
2409.TW.TW,友達,0.00%,13971,13298,673
2883.TW,開發金,9.13,0.00,0.00%,5537
911611.TW,中泰山,4886,651,12.95,-0.25
911611.TW.TW,中泰山,-1.89%,1658,1049,609
2337.TW,旺宏,19.20,-0.05,-0.26%,2763
9939.TW,宏全,2157,606,60.60,-0.90
9939.TW.TW,宏全,-1.46%,873,275,598
1326.TW,臺化,88.70,-0.10,-0.11%,11571
2314.TW,台揚,11028,543,19.35,0.45
2314.TW.TW,台揚,+2.38%,2876,2395,481
2607.TW,榮運,28.20,0.75,+2.73%,6123
4532.TW,瑞智,5658,465,16.25,0.25
4532.TW.TW,瑞智,+1.56%,3609,3144,465
2485.TW,兆赫,50.10,-0.60,-1.18%,1030
2458.TW,義隆,578,452,43.80,-2.00
2458.TW.TW,義隆,-4.37%,2778,2354,424
1313.TW,聯成,23.40,-0.80,-3.31%,3144
1459.TW,聯發,2746,398,16.45,0.00
1459.TW.TW,聯發,0.00%,1661,1264,397
2354.TW,鴻準,96.00,-0.20,-0.21%,2500
1902.TW,臺紙,2104,396,19.50,-0.55
1902.TW.TW,臺紙,-2.74%,3770,3379,391
1513.TW,中興電,18.65,0.45,+2.47%,2267
1907.TW,永豐餘,1883,384,15.35,-0.40
1907.TW.TW,永豐餘,-2.54%,2422,2050,372
2313.TW,華通,10.05,-0.20,-1.95%,2613
2330.TW,台積電,2250,363,62.00,-0.30
2330.TW.TW,台積電,-0.48%,8786,8437,349
1319.TW,東陽,50.00,0.00,0.00%,2863
4938.TW,和碩,2518,345,41.45,-0.10
4938.TW.TW,和碩,-0.24%,2034,1690,344
2501.TW,國建,17.55,0.20,+1.15%,3265
6120.TW,輔祥,2927,338,30.90,0.15
6120.TW.TW,輔祥,+0.49%,1032,721,311
6116.TW,彩晶,6.10,-0.05,-0.81%,6163
2498.TW,宏達電,5857,306,676.00,0.00
2498.TW.TW,宏達電,0.00%,2267,1980,287
2204.TW,中華,24.95,-0.60,-2.35%,2516
1604.TW,聲寶,2237,279,7.38,0.13
1604.TW.TW,聲寶,+1.79%,2397,2122,275
3034.TW,聯詠,91.00,0.40,+0.44%,1707
1722.TW,台肥,1436,271,108.00,-1.00
1722.TW.TW,台肥,-0.92%,2953,2691,262
