2409.TW,友達,30.75,0.00,0.00%,-18427
2002.TW,中鋼,30.95,-0.30,-0.96%,-11628
2801.TW,彰銀,20.35,-0.35,-1.69%,-8298
2891.TW,中信金,19.45,-0.45,-2.26%,-8237
2882.TW,國泰金,47.00,-0.40,-0.84%,-6826
2303.TW,聯電,13.80,-0.05,-0.36%,-6119
1216.TW,統一,38.85,-0.80,-2.02%,-5927
1605.TW,華新,18.75,-0.15,-0.79%,-5826
1409.TW,新纖,16.00,-0.45,-2.74%,-5795
3702.TW,大聯大,58.10,-0.60,-1.02%,-5770
2371.TW,大同,7.31,-0.03,-0.41%,-5703
2325.TW,矽品,32.40,-1.10,-3.28%,-4178
5854.TW,合庫,22.05,-0.35,-1.56%,-3932
2384.TW,勝華,52.10,-0.20,-0.38%,-3661
3049.TW,和鑫,23.50,-0.15,-0.63%,-3330
1905.TW,華紙,17.15,-0.50,-2.83%,-3321
2022.TW,聚亨,8.00,0.25,+3.23%,-3251
1201.TW,味全,34.85,-0.65,-1.83%,-3190
2881.TW,富邦金,37.70,-0.30,-0.79%,-3186
2888.TW,新光金,11.15,-0.15,-1.33%,-3103
2201.TW,裕隆,60.50,-1.10,-1.79%,-2896
3474.TW,華亞科,14.90,0.00,0.00%,-2718
2823.TW,中壽,24.80,-0.05,-0.20%,-2411
2511.TW,太子,22.50,-0.30,-1.32%,-2275
1402.TW,遠東新,46.60,-0.30,-0.64%,-2248
2315.TW,神達,13.70,-0.10,-0.72%,-2232
1904.TW,正隆,13.95,-0.25,-1.76%,-2196
6012.TW,金鼎證,12.15,-0.10,-0.82%,-2188
2312.TW,金寶,10.60,-0.15,-1.40%,-1875
1718.TW,中纖,14.55,-0.40,-2.68%,-1566
2892.TW,第一金,20.15,-0.40,-1.95%,-1514
2344.TW,華邦電,7.85,-0.12,-1.51%,-1467
1710.TW,東聯,32.85,-1.20,-3.52%,-1463
2887.TW,台新金,13.50,-0.20,-1.46%,-1417
2880.TW,華南金,19.90,-0.25,-1.24%,-1405
2385.TW,群光,71.00,1.10,+1.57%,-1358
2352.TW,佳世達,21.55,-0.45,-2.05%,-1351
2547.TW,日勝生,41.10,-0.70,-1.67%,-1335
1451.TW,年興,23.10,-0.30,-1.28%,-1277
9105.TW,泰金寶,5.07,-0.03,-0.59%,-1255
2392.TW,正崴,63.40,-0.40,-0.63%,-1188
2376.TW,技嘉,29.35,-0.15,-0.51%,-1143
8008.TW,建興,33.00,1.00,+3.13%,-1113
2845.TW,遠東銀,13.70,-0.10,-0.72%,-1112
2473.TW,思源,41.40,-1.20,-2.82%,-1083
2449.TW,京元電,13.80,-0.20,-1.43%,-1026
1218.TW,泰山,19.00,0.00,0.00%,-1024
2820.TW,華票,9.07,0.01,+0.11%,-981
2903.TW,遠百,38.70,-0.45,-1.15%,-964
2913.TW,農林,20.50,0.55,+2.76%,-931
