2609.TW,陽明,22.80,1.10,+5.07%,9000
1718.TW,中纖,3061,5939,14.55,-0.40
1718.TW.TW,中纖,-2.68%,3278,246,3032
2913.TW,農林,20.50,0.55,+2.76%,2054
2834.TW,台企銀,423,1631,10.30,-0.10
2834.TW.TW,台企銀,-0.96%,1471,392,1078
1905.TW,華紙,17.15,-0.50,-2.83%,934
8008.TW,建興,32,902,33.00,1.00
8008.TW.TW,建興,+3.13%,1309,502,807
1701.TW,中化,30.85,0.10,+0.33%,1105
2801.TW,彰銀,331,774,20.35,-0.35
2801.TW.TW,彰銀,-1.69%,1747,1043,704
1444.TW,力麗,18.40,-0.25,-1.34%,1433
2345.TW,智邦,740,693,23.00,0.05
2345.TW.TW,智邦,+0.22%,666,33,633
2881.TW,富邦金,37.70,-0.30,-0.79%,820
9938.TW,百和,206,614,34.10,-0.60
9938.TW.TW,百和,-1.73%,656,47,609
2474.TW,可成,83.00,0.90,+1.10%,670
2892.TW,第一金,68,602,20.15,-0.40
2892.TW.TW,第一金,-1.95%,960,362,598
2376.TW,技嘉,29.35,-0.15,-0.51%,705
1447.TW,力鵬,113,592,16.50,-0.25
1447.TW.TW,力鵬,-1.49%,1048,478,570
2311.TW,日月光,26.00,0.00,0.00%,1136
2542.TW,興富發,568,568,54.10,1.10
2542.TW.TW,興富發,+2.08%,573,27,546
2481.TW,強茂,37.45,0.05,+0.13%,693
2891.TW,中信金,171,522,19.45,-0.45
2891.TW.TW,中信金,-2.26%,1035,533,502
3443.TW,創意,130.00,3.00,+2.36%,766
2017.TW,官田鋼,264,502,10.90,0.00
2017.TW.TW,官田鋼,0.00%,501,0,501
1409.TW,新纖,16.00,-0.45,-2.74%,1245
2107.TW,厚生,751,494,24.60,0.15
2107.TW.TW,厚生,+0.61%,553,60,493
1216.TW,統一,38.85,-0.80,-2.02%,983
5854.TW,合庫,498,485,22.05,-0.35
5854.TW.TW,合庫,-1.56%,747,345,402
2607.TW,榮運,28.20,0.75,+2.73%,845
2887.TW,台新金,444,401,13.50,-0.20
2887.TW.TW,台新金,-1.46%,630,247,383
9928.TW,中視,28.00,0.55,+2.00%,371
3049.TW,和鑫,4,367,23.50,-0.15
3049.TW.TW,和鑫,-0.63%,320,0,320
2820.TW,華票,9.07,0.01,+0.11%,301
2392.TW,正崴,0,301,63.40,-0.40
2392.TW.TW,正崴,-0.63%,451,166,285
6257.TW,矽格,26.50,-0.20,-0.75%,298
2890.TW,永豐金,15,283,11.50,-0.05
2890.TW.TW,永豐金,-0.43%,312,33,279
2330.TW,台積電,62.00,-0.30,-0.48%,375
1708.TW,東鹼,101,274,39.15,-0.05
1708.TW.TW,東鹼,-0.13%,493,230,263
2882.TW,國泰金,47.00,-0.40,-0.84%,566
4526.TW,東台,307,259,32.35,0.45
4526.TW.TW,東台,+1.41%,250,0,250
2409.TW,友達,30.75,0.00,0.00%,3650
3702.TW,大聯大,3404,246,58.10,-0.60
3702.TW.TW,大聯大,-1.02%,290,63,227
9911.TW,櫻花,24.50,-0.35,-1.41%,220
1305.TW,華夏,20,200,12.60,0.15
1305.TW.TW,華夏,+1.20%,200,0,200
2448.TW,晶電,97.40,-1.20,-1.22%,404
1201.TW,味全,215,189,34.85,-0.65
1201.TW.TW,味全,-1.83%,378,192,186
2520.TW,冠德,27.15,-0.15,-0.55%,345
9907.TW,統一實,160,185,16.15,-0.10
9907.TW.TW,統一實,-0.62%,225,41,184
2401.TW,凌陽,23.40,0.75,+3.31%,233
2206.TW,三陽,53,180,16.65,-0.15
2206.TW.TW,三陽,-0.89%,251,73,178
2382.TW,廣達,55.00,-0.20,-0.36%,274
2006.TW,東鋼,97,177,28.75,-0.25
2006.TW.TW,東鋼,-0.86%,182,14,168
