2603.TW,長榮,25.45,0.70,+2.83%,-16316
2610.TW,華航,24.15,-0.70,-2.82%,-10823
911611.TW,中泰山,12.95,-0.25,-1.89%,-10315
2014.TW,中鴻,13.40,-0.10,-0.74%,-8321
2327.TW,國巨,12.85,-0.05,-0.39%,-7890
910322.TW,康師傅,39.80,-1.05,-2.57%,-7438
1402.TW,遠東新,46.60,-0.30,-0.64%,-6882
1902.TW,臺紙,19.50,-0.55,-2.74%,-6075
3049.TW,和鑫,23.50,-0.15,-0.63%,-5356
1711.TW,永光,37.00,-0.60,-1.60%,-5170
3045.TW,台灣大,67.80,0.50,+0.74%,-4739
2206.TW,三陽,16.65,-0.15,-0.89%,-4623
2838.TW,聯邦銀,8.89,-0.01,-0.11%,-4440
9938.TW,百和,34.10,-0.60,-1.73%,-4411
911610.TW,聯環,20.35,1.30,+6.82%,-4271
2908.TW,特力,24.10,-0.35,-1.43%,-4084
1440.TW,南紡,20.15,-1.10,-5.18%,-3782
1102.TW,亞泥,31.90,-0.35,-1.09%,-3341
2448.TW,晶電,97.40,-1.20,-1.22%,-3288
2347.TW,聯強,75.50,0.90,+1.21%,-3221
1737.TW,臺鹽,25.20,0.05,+0.20%,-3093
2002.TW,中鋼,30.95,-0.30,-0.96%,-2996
2891.TW,中信金,19.45,-0.45,-2.26%,-2930
2406.TW,國碩,49.60,-0.70,-1.39%,-2860
1304.TW,臺聚,26.90,-0.65,-2.36%,-2806
1531.TW,高林股,27.90,0.20,+0.72%,-2626
911608.TW,明輝,16.35,-0.35,-2.10%,-2575
2888.TW,新光金,11.15,-0.15,-1.33%,-2574
2887.TW,台新金,13.50,-0.20,-1.46%,-2510
2903.TW,遠百,38.70,-0.45,-1.15%,-2458
2485.TW,兆赫,50.10,-0.60,-1.18%,-2320
2329.TW,華泰,7.80,-0.11,-1.39%,-2248
2369.TW,菱生,20.70,-0.50,-2.36%,-2245
911606.TW,超級,16.50,-0.25,-1.49%,-2206
1436.TW,福益,9.12,0.02,+0.22%,-2177
1907.TW,永豐餘,15.35,-0.40,-2.54%,-2090
4904.TW,遠傳,44.40,0.05,+0.11%,-2079
8105.TW,凌巨,20.65,-0.35,-1.67%,-2072
3043.TW,科風,59.50,-1.70,-2.78%,-2016
2481.TW,強茂,37.45,0.05,+0.13%,-1982
6153.TW,嘉聯益,37.30,-2.30,-5.81%,-1935
5388.TW,中磊,28.70,0.00,0.00%,-1906
2106.TW,建大,31.90,-0.25,-0.78%,-1695
5854.TW,合庫,22.05,-0.35,-1.56%,-1692
3061.TW,璨圓,39.65,-0.30,-0.75%,-1610
2890.TW,永豐金,11.50,-0.05,-0.43%,-1540
1460.TW,宏遠,7.74,-0.05,-0.64%,-1512
1582.TW,信錦,57.00,-0.30,-0.52%,-1430
1437.TW,勤益,21.80,-0.15,-0.68%,-1420
2349.TW,錸德,8.51,-0.09,-1.05%,-1394
