1,1314,2188,327,1861
2,2325,1286,180,1106
3,1409,1501,411,1090
4,2382,1084,29,1055
5,5346,817,25,792
6,2609,2784,2036,748
7,1326,818,95,723
8,2891,830,302,528
9,1414,520,36,484
10,2457,521,66,455
11,2618,1207,757,450
12,2330,482,64,418
13,2349,436,75,361
14,1440,492,155,337
15,2384,1162,832,330
16,2441,319,0,319
17,2376,296,11,285
18,2344,316,43,273
19,2002,326,61,265
20,2504,515,261,254
21,2475,251,7,244
22,1902,313,74,239
23,5009,335,121,214
24,2371,315,103,212
25,2014,263,62,201
26,2890,216,24,192
27,9946,200,15,185
28,1402,243,64,179
29,2323,222,54,168
30,1815,203,38,165
